"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","IWH","IWD","IWA","PSH","PSD","PSA","WHH","WHD","WHA","VCH","VCD","VCA","PSCH","PSCD","PSCA","hodds_mean","dodds_mean","aodds_mean","HomeTeam.Augsburg","HomeTeam.Bayern.Munich","HomeTeam.Bielefeld","HomeTeam.Darmstadt","HomeTeam.Dortmund","HomeTeam.Ein.Frankfurt","HomeTeam.FC.Koln","HomeTeam.Fortuna.Dusseldorf","HomeTeam.Freiburg","HomeTeam.Hamburg","HomeTeam.Hannover","HomeTeam.Hertha","HomeTeam.Hoffenheim","HomeTeam.Ingolstadt","HomeTeam.Leverkusen","HomeTeam.M.gladbach","HomeTeam.Mainz","HomeTeam.Nurnberg","HomeTeam.Paderborn","HomeTeam.RB.Leipzig","HomeTeam.Schalke.04","HomeTeam.Stuttgart","HomeTeam.Union.Berlin","HomeTeam.Werder.Bremen","HomeTeam.Wolfsburg","AwayTeam.Augsburg","AwayTeam.Bayern.Munich","AwayTeam.Bielefeld","AwayTeam.Darmstadt","AwayTeam.Dortmund","AwayTeam.Ein.Frankfurt","AwayTeam.FC.Koln","AwayTeam.Fortuna.Dusseldorf","AwayTeam.Freiburg","AwayTeam.Hamburg","AwayTeam.Hannover","AwayTeam.Hertha","AwayTeam.Hoffenheim","AwayTeam.Ingolstadt","AwayTeam.Leverkusen","AwayTeam.M.gladbach","AwayTeam.Mainz","AwayTeam.Nurnberg","AwayTeam.Paderborn","AwayTeam.RB.Leipzig","AwayTeam.Schalke.04","AwayTeam.Stuttgart","AwayTeam.Union.Berlin","AwayTeam.Werder.Bremen","AwayTeam.Wolfsburg","FTHG0","FTHG1","FTHG2","FTHG3","FTHG4","FTHG5","FTHG6","FTHG7","FTHG8","FTAG0","FTAG1","FTAG2","FTAG3","FTAG4","FTAG5","FTAG6"
"25","D1","29/08/15","Stuttgart","Ein Frankfurt","1","4","A",1,2,"A",15,6,4,4,19,17,6,1,3,3,1,0,1.95,3.6,3.8,1.95,3.4,3.8,2,3.3,3.6,1.96,3.91,3.93,1.95,3.5,3.8,1.95,3.9,3.75,1.93,3.81,4.19,1.95571428571429,3.63142857142857,3.83857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"26","D1","30/08/15","Dortmund","Hertha","3","1","H",1,0,"H",15,4,6,4,16,12,5,1,0,2,0,0,1.2,6.5,17,1.24,6.25,10.5,1.25,5.5,10.3,1.24,7.06,14.5,1.25,5.5,13,1.25,6.5,13,1.22,7.35,15,1.23571428571429,6.38,13.3285714285714,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"27","D1","30/08/15","Werder Bremen","M'gladbach","2","1","H",1,1,"D",22,9,6,5,17,18,5,6,3,1,0,1,3.2,3.4,2.25,3.1,3.3,2.25,3.3,3.3,2.1,3.36,3.6,2.25,3.3,3.2,2.25,3.25,3.7,2.25,2.82,3.56,2.6,3.19,3.43714285714286,2.27857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"28","D1","11/09/15","M'gladbach","Hamburg","0","3","A",0,2,"A",13,10,2,4,17,19,5,2,2,1,0,0,1.67,4,5,1.67,3.75,5,1.65,3.7,4.9,1.68,4.08,5.56,1.7,3.8,4.8,1.67,4.1,5.25,1.75,4.01,5.03,1.68428571428571,3.92,5.07714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"29","D1","12/09/15","Bayern Munich","Augsburg","2","1","H",0,1,"A",27,4,10,1,10,10,9,0,0,1,0,0,1.13,9.5,19,1.13,9.25,18,1.12,8,16,1.14,9.75,23.5,1.14,7.5,19,1.13,9.5,26,1.14,9.7,25.6,1.13285714285714,9.02857142857143,21.0142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"30","D1","12/09/15","Ein Frankfurt","FC Koln","6","2","H",4,1,"H",18,13,11,7,14,14,5,2,2,1,0,0,2.3,3.3,3.2,2.3,3.3,3,2.3,3.3,2.9,2.34,3.52,3.24,2.3,3.2,3.2,2.38,3.6,3.1,2.12,3.61,3.68,2.29142857142857,3.40428571428571,3.18857142857143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"31","D1","12/09/15","Hannover","Dortmund","2","4","A",1,2,"A",5,17,3,6,15,16,2,4,3,1,0,0,7.5,4.5,1.44,7.25,4.5,1.45,7,4,1.45,7.68,4.76,1.47,7,4.5,1.44,6.5,5,1.5,8.51,5.35,1.4,7.34857142857143,4.65857142857143,1.45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"32","D1","12/09/15","Hertha","Stuttgart","2","1","H",2,1,"H",9,11,4,3,18,21,5,7,0,3,0,0,2.5,3.4,2.8,2.5,3.3,2.7,2.4,3.3,2.75,2.54,3.52,2.92,2.5,3.25,2.88,2.5,3.5,2.9,2.59,3.58,2.82,2.50428571428571,3.40714285714286,2.82428571428571,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"33","D1","12/09/15","Ingolstadt","Wolfsburg","0","0","D",0,0,"D",5,17,1,3,10,15,2,5,2,3,0,0,4,3.6,1.91,4.1,3.6,1.9,4,3.45,1.85,4.29,3.73,1.93,4.2,3.4,1.91,4,3.75,1.95,4.17,3.63,1.98,4.10857142857143,3.59428571428571,1.91857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"34","D1","12/09/15","Leverkusen","Darmstadt","0","1","A",0,1,"A",16,5,4,3,13,17,10,4,3,1,0,0,1.25,6,13,1.26,6,11,1.3,5,9,1.28,6.13,13.15,1.29,5,12,1.29,6,13,1.26,6.35,14.6,1.27571428571429,5.78285714285714,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
