rank,prev_rank,name,league,off,def,spi
518,481,Kilmarnock,Scottish Premiership,0.74,1.68,24.21
519,514,Dunkerque,French Ligue 2,0.74,1.67,24.13
520,542,Dundee Utd,Scottish Premiership,0.72,1.65,24.06
521,520,Maritzburg Utd,South African ABSA Premier League,0.56,1.39,24.05
522,513,Würzburger Kickers,German 2. Bundesliga,0.83,1.82,24.02
523,529,Cosenza,Italy Serie B,0.71,1.66,23.85
524,531,SK Brann,Norwegian Tippeligaen,0.87,1.91,23.79
525,525,Sacramento Republic FC,United Soccer League,0.8,1.8,23.75
526,526,FC Cincinnati,Major League Soccer,0.75,1.72,23.73
527,527,IK Sirius,Swedish Allsvenskan,0.94,2.02,23.7
528,519,Cremonese,Italy Serie B,0.75,1.73,23.67
529,528,Vegalta Sendai,Japanese J League,0.8,1.81,23.52
530,522,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,0.95,2.05,23.46
531,518,Eintracht Braunschweig,German 2. Bundesliga,0.79,1.8,23.41
532,530,Helsingborgs IF,Swedish Allsvenskan,0.83,1.88,23.31
533,532,Vancouver Whitecaps,Major League Soccer,0.84,1.9,23.13
534,515,Pau,French Ligue 2,0.69,1.67,23.01
535,535,New Mexico United,United Soccer League,0.81,1.88,22.97
536,538,Rodez,French Ligue 2,0.69,1.69,22.75
537,533,Blackpool,English League One,0.69,1.69,22.74
538,556,St Mirren,Scottish Premiership,0.63,1.59,22.71
539,534,Reggina,Italy Serie B,0.72,1.75,22.63
540,539,Bloem Celtic,South African ABSA Premier League,0.8,1.9,22.37
541,524,Sarpsborg,Norwegian Tippeligaen,0.68,1.72,22.04
542,537,Stromsgodset,Norwegian Tippeligaen,0.96,2.17,22.01
543,541,Lyngby,Danish SAS-Ligaen,0.84,1.99,21.98
544,543,Orange County SC,United Soccer League,0.77,1.88,21.91
545,544,El Paso Locomotive FC,United Soccer League,0.66,1.7,21.89
546,546,Panionios,Greek Super League,0.51,1.45,21.84
547,553,Pisa,Italy Serie B,0.73,1.82,21.79
548,548,Austin Bold FC,United Soccer League,0.94,2.16,21.69
549,536,St Johnstone,Scottish Premiership,0.71,1.8,21.65
550,564,Gillingham,English League One,0.67,1.74,21.64
551,554,Salford City,English League Two,0.66,1.71,21.6
552,549,Charleston Battery,United Soccer League,0.74,1.86,21.6
