AR,HTR,VCD,PSH,HomeTeam,IWH,AC,HTAG,HF,B365D,AF,HY,Date,WHA,HST,B365H,HR,BWH,AS,PSA,PSD,B365A,HC,WHH,FTAG,Div,AY,VCA,AST,HTHG,IWD,FTHG,FTR,VCH,PSCH,BWA,AwayTeam,BWD,WHD,PSCA,PSCD,HS,IWA
0,D,4.5,1.51,Leverkusen,1.57,9,0,13,4.5,8,3,23/11/2018,6.0,4,1.5,0,1.55,10,6.44,4.65,6.0,6,1.5,0,D1,3,6.25,2,0,4.3,2,H,1.53,1.53,5.75,Stuttgart,4.33,4.4,6.03,4.69,17,5.5
0,A,3.7,2.74,Augsburg,2.65,5,1,3,3.5,12,1,24/11/2018,2.5,10,2.62,0,2.6,15,2.56,3.71,2.62,8,2.6,3,D1,2,2.55,7,0,3.4,1,A,2.63,2.87,2.6,Ein Frankfurt,3.5,3.6,2.54,3.54,25,2.65
0,H,3.4,2.81,Freiburg,2.75,3,0,6,3.3,10,0,25/11/2018,2.55,9,2.87,0,2.75,19,2.62,3.48,2.5,6,2.7,1,D1,2,2.55,8,1,3.4,1,D,2.8,2.73,2.5,Werder Bremen,3.5,3.4,2.75,3.4,23,2.55
0,D,3.4,2.76,Fortuna Dusseldorf,2.7,5,0,8,3.3,7,1,30/11/2018,2.55,7,2.7,0,2.65,15,2.65,3.51,2.6,12,2.7,1,D1,1,2.63,3,0,3.2,0,A,2.75,2.63,2.7,Mainz,3.3,3.4,2.77,3.53,20,2.7
0,H,5.75,1.31,Dortmund,1.3,3,0,6,5.5,11,1,01/12/2018,10.0,4,1.28,0,1.28,5,10.51,5.64,11.0,2,1.29,0,D1,1,11.0,1,1,5.6,2,H,1.3,1.32,11.0,Freiburg,5.5,5.5,9.8,5.8,11,9.5
0,A,3.9,1.87,Ein Frankfurt,1.75,3,1,10,4.0,9,3,02/12/2018,4.33,2,1.8,0,1.85,10,4.51,3.7,4.1,9,1.78,2,D1,7,4.33,3,0,3.7,1,A,1.8,2.03,4.2,Wolfsburg,3.7,3.7,3.89,3.62,13,4.8
0,A,4.0,4.46,Nurnberg,4.1,6,1,14,4.0,10,3,03/12/2018,1.75,4,4.2,0,4.33,20,1.8,4.02,1.8,3,4.33,1,D1,2,1.8,6,0,3.7,1,D,4.2,5.0,1.78,Leverkusen,3.9,3.9,1.72,4.06,11,1.85
0,D,4.0,1.75,Werder Bremen,1.75,4,1,13,4.0,18,3,07/12/2018,4.8,9,1.72,0,1.7,12,5.01,3.91,4.5,6,1.7,1,D1,4,4.6,3,1,3.8,3,H,1.75,1.86,4.75,Fortuna Dusseldorf,4.0,3.8,4.49,3.74,22,4.6
0,H,12.0,1.09,Bayern Munich,1.1,1,0,9,11.0,6,1,08/12/2018,34.0,8,1.08,0,1.09,4,32.32,11.83,34.0,11,1.07,0,D1,0,36.0,1,2,9.5,3,H,1.07,1.09,29.0,Nurnberg,10.5,10.0,32.84,12.59,20,25.0
1,A,3.7,1.99,Mainz,2.0,1,1,12,3.6,9,4,09/12/2018,4.0,5,1.9,0,1.91,11,4.16,3.51,4.0,9,1.91,1,D1,3,3.8,3,0,3.5,1,D,1.95,1.92,4.0,Hannover,3.6,3.5,4.35,3.63,28,3.7
